,timestamp,pilot,aggressor,shiptype,module_or_ammo,dmg,hit_quality
400,2023-02-23 16:36:28,Dravynea Uta,Hollindustries,Nestor,Ogre II,258,Penetrates
401,2023-02-23 16:36:28,Dravynea Uta,Hollindustries,Nestor,Ogre II,238,Penetrates
402,2023-02-23 16:36:28,Dravynea Uta,Hollindustries,Nestor,Ogre II,175,Hits
403,2023-02-23 16:36:28,Dravynea Uta,Hollindustries,Nestor,Ogre II,118,Grazes
406,2023-02-23 16:36:32,Dravynea Uta,Hollindustries,Nestor,Ogre II,188,Hits
408,2023-02-23 16:36:32,Dravynea Uta,Hollindustries,Nestor,Ogre II,180,Hits
409,2023-02-23 16:36:32,Dravynea Uta,Hollindustries,Nestor,Ogre II,246,Penetrates
410,2023-02-23 16:36:32,Dravynea Uta,Hollindustries,Nestor,Ogre II,165,Glances Off
412,2023-02-23 16:36:36,Dravynea Uta,Hollindustries,Nestor,Ogre II,114,Grazes
413,2023-02-23 16:36:36,Dravynea Uta,Hollindustries,Nestor,Ogre II,138,Grazes
414,2023-02-23 16:36:36,Dravynea Uta,Hollindustries,Nestor,Ogre II,274,Penetrates
415,2023-02-23 16:36:36,Dravynea Uta,Hollindustries,Nestor,Ogre II,286,Smashes
416,2023-02-23 16:36:36,Dravynea Uta,Hollindustries,Nestor,Ogre II,683,Wrecks
420,2023-02-23 16:36:40,Dravynea Uta,Hollindustries,Nestor,Ogre II,129,Grazes
421,2023-02-23 16:36:40,Dravynea Uta,Hollindustries,Nestor,Ogre II,161,Glances Off
422,2023-02-23 16:36:40,Dravynea Uta,Hollindustries,Nestor,Ogre II,275,Penetrates
423,2023-02-23 16:36:40,Dravynea Uta,Hollindustries,Nestor,Ogre II,121,Grazes
427,2023-02-23 16:36:44,Dravynea Uta,Hollindustries,Nestor,Ogre II,270,Penetrates
428,2023-02-23 16:36:44,Dravynea Uta,Hollindustries,Nestor,Ogre II,269,Penetrates
429,2023-02-23 16:36:44,Dravynea Uta,Hollindustries,Nestor,Ogre II,268,Penetrates
430,2023-02-23 16:36:44,Dravynea Uta,Hollindustries,Nestor,Ogre II,292,Smashes
431,2023-02-23 16:36:44,Dravynea Uta,Hollindustries,Nestor,Ogre II,196,Hits
432,2023-02-23 16:36:48,Dravynea Uta,Hollindustries,Nestor,Ogre II,310,Smashes
433,2023-02-23 16:36:48,Dravynea Uta,Hollindustries,Nestor,Ogre II,307,Smashes
434,2023-02-23 16:36:48,Dravynea Uta,Hollindustries,Nestor,Ogre II,220,Hits
435,2023-02-23 16:36:48,Dravynea Uta,Hollindustries,Nestor,Ogre II,220,Hits
436,2023-02-23 16:36:48,Dravynea Uta,Hollindustries,Nestor,Ogre II,329,Smashes
439,2023-02-23 16:36:52,Dravynea Uta,Hollindustries,Nestor,Ogre II,327,Smashes
440,2023-02-23 16:36:52,Dravynea Uta,Hollindustries,Nestor,Ogre II,319,Smashes
441,2023-02-23 16:36:52,Dravynea Uta,Hollindustries,Nestor,Ogre II,320,Smashes
442,2023-02-23 16:36:52,Dravynea Uta,Hollindustries,Nestor,Ogre II,206,Hits
443,2023-02-23 16:36:52,Dravynea Uta,Hollindustries,Nestor,Ogre II,262,Penetrates
447,2023-02-23 16:36:56,Dravynea Uta,Hollindustries,Nestor,Ogre II,324,Smashes
448,2023-02-23 16:36:56,Dravynea Uta,Hollindustries,Nestor,Ogre II,310,Smashes
449,2023-02-23 16:36:56,Dravynea Uta,Hollindustries,Nestor,Ogre II,287,Smashes
450,2023-02-23 16:36:56,Dravynea Uta,Hollindustries,Nestor,Ogre II,326,Smashes
452,2023-02-23 16:37:00,Dravynea Uta,Hollindustries,Nestor,Ogre II,212,Hits
453,2023-02-23 16:37:00,Dravynea Uta,Hollindustries,Nestor,Ogre II,291,Smashes
454,2023-02-23 16:37:00,Dravynea Uta,Hollindustries,Nestor,Ogre II,144,Glances Off
455,2023-02-23 16:37:00,Dravynea Uta,Hollindustries,Nestor,Ogre II,333,Smashes
456,2023-02-23 16:37:00,Dravynea Uta,Hollindustries,Nestor,Ogre II,274,Penetrates
459,2023-02-23 16:37:04,Dravynea Uta,Hollindustries,Nestor,Ogre II,319,Smashes
460,2023-02-23 16:37:04,Dravynea Uta,Hollindustries,Nestor,Ogre II,100,Grazes
461,2023-02-23 16:37:04,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Grazes
462,2023-02-23 16:37:04,Dravynea Uta,Hollindustries,Nestor,Ogre II,163,Wrecks
463,2023-02-23 16:37:04,Dravynea Uta,Hollindustries,Nestor,Ogre II,45,Hits
466,2023-02-23 16:37:08,Dravynea Uta,Hollindustries,Nestor,Ogre II,54,Hits
467,2023-02-23 16:37:08,Dravynea Uta,Hollindustries,Nestor,Ogre II,58,Penetrates
468,2023-02-23 16:37:08,Dravynea Uta,Hollindustries,Nestor,Ogre II,52,Hits
469,2023-02-23 16:37:08,Dravynea Uta,Hollindustries,Nestor,Ogre II,64,Penetrates
470,2023-02-23 16:37:08,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Grazes
471,2023-02-23 16:37:12,Dravynea Uta,Hollindustries,Nestor,Ogre II,51,Penetrates
472,2023-02-23 16:37:12,Dravynea Uta,Hollindustries,Nestor,Ogre II,43,Penetrates
473,2023-02-23 16:37:12,Dravynea Uta,Hollindustries,Nestor,Ogre II,57,Smashes
474,2023-02-23 16:37:12,Dravynea Uta,Hollindustries,Nestor,Ogre II,41,Hits
475,2023-02-23 16:37:12,Dravynea Uta,Hollindustries,Nestor,Ogre II,45,Penetrates
478,2023-02-23 16:37:16,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Hits
479,2023-02-23 16:37:16,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Hits
480,2023-02-23 16:37:16,Dravynea Uta,Hollindustries,Nestor,Ogre II,43,Smashes
481,2023-02-23 16:37:16,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Penetrates
482,2023-02-23 16:37:16,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Penetrates
486,2023-02-23 16:37:20,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Glances Off
487,2023-02-23 16:37:20,Dravynea Uta,Hollindustries,Nestor,Ogre II,44,Smashes
488,2023-02-23 16:37:20,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Penetrates
489,2023-02-23 16:37:20,Dravynea Uta,Hollindustries,Nestor,Ogre II,44,Smashes
490,2023-02-23 16:37:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
491,2023-02-23 16:37:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
492,2023-02-23 16:37:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
493,2023-02-23 16:37:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
494,2023-02-23 16:37:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
497,2023-02-23 16:37:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
498,2023-02-23 16:37:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Hits
499,2023-02-23 16:37:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
500,2023-02-23 16:37:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
501,2023-02-23 16:37:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
504,2023-02-23 16:37:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
505,2023-02-23 16:37:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
506,2023-02-23 16:37:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
507,2023-02-23 16:37:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
508,2023-02-23 16:37:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
509,2023-02-23 16:37:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
510,2023-02-23 16:37:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
511,2023-02-23 16:37:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
512,2023-02-23 16:37:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
513,2023-02-23 16:37:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
516,2023-02-23 16:37:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
517,2023-02-23 16:37:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
518,2023-02-23 16:37:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
519,2023-02-23 16:37:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Hits
520,2023-02-23 16:37:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
523,2023-02-23 16:37:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
524,2023-02-23 16:37:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
525,2023-02-23 16:37:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
526,2023-02-23 16:37:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
527,2023-02-23 16:37:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Glances Off
528,2023-02-23 16:37:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Penetrates
529,2023-02-23 16:37:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
530,2023-02-23 16:37:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
531,2023-02-23 16:37:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
532,2023-02-23 16:37:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,24,Hits
535,2023-02-23 16:37:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Hits
536,2023-02-23 16:37:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
537,2023-02-23 16:37:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
538,2023-02-23 16:37:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
539,2023-02-23 16:37:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
542,2023-02-23 16:37:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
543,2023-02-23 16:37:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
544,2023-02-23 16:37:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
545,2023-02-23 16:37:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
546,2023-02-23 16:37:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Penetrates
547,2023-02-23 16:38:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
548,2023-02-23 16:38:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
549,2023-02-23 16:38:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,24,Hits
550,2023-02-23 16:38:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
551,2023-02-23 16:38:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
554,2023-02-23 16:38:05,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
555,2023-02-23 16:38:05,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
556,2023-02-23 16:38:05,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
557,2023-02-23 16:38:05,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
558,2023-02-23 16:38:05,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
561,2023-02-23 16:38:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
562,2023-02-23 16:38:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
563,2023-02-23 16:38:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
564,2023-02-23 16:38:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Penetrates
565,2023-02-23 16:38:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
566,2023-02-23 16:38:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
567,2023-02-23 16:38:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
568,2023-02-23 16:38:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
569,2023-02-23 16:38:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
570,2023-02-23 16:38:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
573,2023-02-23 16:38:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Hits
574,2023-02-23 16:38:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Smashes
575,2023-02-23 16:38:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
576,2023-02-23 16:38:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
577,2023-02-23 16:38:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
580,2023-02-23 16:38:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
581,2023-02-23 16:38:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
582,2023-02-23 16:38:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
583,2023-02-23 16:38:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
584,2023-02-23 16:38:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
585,2023-02-23 16:38:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
586,2023-02-23 16:38:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Glances Off
587,2023-02-23 16:38:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
